emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
enraged,Anger/Hostility,-0.060529,-0.053582,-0.045778,-0.039727,-0.038149,-0.042092,-0.006946,0.007804,0.013855,0.015433,0.011491,0.001248
spiteful,Defiance/Spite,-0.052858,-0.046446,-0.03897,-0.032275,-0.032134,-0.035057,-0.006412,0.007476,0.014171,0.014312,0.011389,0.001241
outraged,Anger/Hostility,0.059728,0.064447,0.069722,0.073557,0.076924,0.072302,-0.004719,0.005275,0.00911,0.012477,0.007855,0.00085
hostile,Anger/Hostility,0.043121,0.050409,0.055369,0.059725,0.06164,0.058103,-0.007288,0.00496,0.009316,0.011231,0.007694,0.00094
vindictive,Defiance/Spite,0.054545,0.061029,0.067441,0.069679,0.07203,0.068987,-0.006485,0.006412,0.008649,0.011,0.007957,0.000887
angry,Anger/Hostility,-0.028155,-0.023098,-0.018267,-0.013397,-0.012663,-0.015355,-0.005057,0.00483,0.0097,0.010434,0.007742,0.000825
scared,Fear/Anxiety,-0.004668,0.00181,0.006029,0.008126,0.012237,0.007675,-0.006478,0.004219,0.006316,0.010427,0.005864,0.000987
insulted,Anger/Hostility,-0.079042,-0.073542,-0.067648,-0.064786,-0.063275,-0.065826,-0.0055,0.005893,0.008755,0.010266,0.007716,0.000967
humiliated,Embarrassment,-0.039426,-0.032291,-0.028385,-0.026157,-0.022397,-0.0267,-0.007135,0.003906,0.006134,0.009893,0.005591,0.001074
upset,Fear/Anxiety,0.015055,0.017573,0.021073,0.022924,0.027359,0.022609,-0.002517,0.003501,0.005351,0.009787,0.005036,0.000894
hateful,Anger/Hostility,0.116604,0.122821,0.127429,0.131804,0.132286,0.130027,-0.006217,0.004609,0.008983,0.009465,0.007206,0.000967
disgusted,Anger/Hostility,-0.005021,-0.000532,0.004115,0.003462,0.008857,0.004291,-0.004489,0.004646,0.003994,0.009388,0.004823,0.001042
mortified,Embarrassment,-0.08316,-0.079727,-0.074764,-0.072281,-0.070466,-0.073131,-0.003433,0.004963,0.007447,0.009262,0.006597,0.000765
defiant,Defiance/Spite,-0.022893,-0.019234,-0.014423,-0.009651,-0.01062,-0.011744,-0.003659,0.004811,0.009583,0.008614,0.00749,0.001003
grumpy,Anger/Hostility,-0.109139,-0.106957,-0.102325,-0.099895,-0.098499,-0.100766,-0.002182,0.004632,0.007062,0.008458,0.006191,0.000814
indignant,Anger/Hostility,-0.159972,-0.155665,-0.151349,-0.148796,-0.147552,-0.149734,-0.004307,0.004315,0.006869,0.008113,0.005931,0.001183
sullen,Sadness/Despair,-0.030053,-0.025671,-0.020703,-0.016384,-0.017724,-0.018326,-0.004382,0.004969,0.009288,0.007948,0.007346,0.000874
alarmed,Fear/Anxiety,0.080603,0.082306,0.085407,0.085226,0.08993,0.085787,-0.001703,0.003101,0.00292,0.007624,0.003481,0.000692
vengeful,Defiance/Spite,0.104049,0.107351,0.112323,0.114603,0.114811,0.113672,-0.003301,0.004973,0.007253,0.00746,0.006322,0.000677
contemptuous,Anger/Hostility,-0.085165,-0.077183,-0.072517,-0.070882,-0.069823,-0.071456,-0.007982,0.004666,0.006301,0.007359,0.005727,0.000919
obstinate,Defiance/Spite,-0.01322,-0.010813,-0.007207,-0.005583,-0.003618,-0.006058,-0.002407,0.003606,0.00523,0.007195,0.004754,0.001054
stubborn,Defiance/Spite,0.080793,0.080882,0.085463,0.085752,0.087907,0.085853,-8.9e-05,0.00458,0.004869,0.007025,0.004971,0.000725
horrified,Fear/Anxiety,0.086985,0.090788,0.093612,0.093536,0.097612,0.093988,-0.003803,0.002824,0.002748,0.006823,0.0032,0.000869
irritated,Anger/Hostility,-0.075413,-0.070552,-0.067805,-0.066494,-0.063889,-0.066773,-0.004861,0.002747,0.004058,0.006662,0.003779,0.000837
offended,Anger/Hostility,-0.127913,-0.125133,-0.122072,-0.119914,-0.118837,-0.120704,-0.002779,0.003061,0.005219,0.006297,0.004429,0.000667
resentful,Shame/Guilt,0.077807,0.080117,0.083551,0.085074,0.086281,0.084563,-0.002309,0.003434,0.004958,0.006165,0.004446,0.001264
hysterical,Fear/Anxiety,-0.045906,-0.043477,-0.042018,-0.039266,-0.037315,-0.040214,-0.002429,0.001459,0.004211,0.006162,0.003263,0.000886
ashamed,Shame/Guilt,-0.13526,-0.128703,-0.124898,-0.124901,-0.122895,-0.124693,-0.006557,0.003805,0.003802,0.005809,0.00401,0.000946
trapped,Sadness/Despair,-0.05672,-0.053428,-0.051066,-0.050079,-0.047685,-0.050244,-0.003292,0.002362,0.003349,0.005743,0.003184,0.000719
irate,Anger/Hostility,0.034231,0.038633,0.042823,0.044597,0.043934,0.043788,-0.004402,0.004189,0.005964,0.005301,0.005154,0.001318
distressed,Fear/Anxiety,0.02468,0.02618,0.026813,0.028529,0.031307,0.028099,-0.0015,0.000633,0.002349,0.005128,0.001919,0.000885
