emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,sem_shift_band_-3
jealous,Shame/Guilt,0.020371,0.027029,0.031887,0.034548,0.034398,-0.006658,0.004858,0.007519,0.007369,0.001001
tired,Fatigue,-0.006097,-0.005876,-0.001246,0.000684,0.00129,-0.000222,0.004629,0.006559,0.007166,0.000827
ashamed,Shame/Guilt,0.003442,0.010924,0.015669,0.01977,0.01799,-0.007482,0.004746,0.008847,0.007067,0.001153
trapped,Sadness/Despair,0.026208,0.028039,0.029684,0.032088,0.034824,-0.001831,0.001645,0.004049,0.006785,0.000809
spiteful,Defiance/Spite,-0.014872,-0.008825,-0.005194,-0.003117,-0.002593,-0.006047,0.003631,0.005708,0.006232,0.000821
horrified,Fear/Anxiety,0.000811,0.0051,0.005527,0.009008,0.010751,-0.00429,0.000427,0.003907,0.005651,0.000992
stuck,Sadness/Despair,0.025616,0.027259,0.029515,0.029652,0.03239,-0.001643,0.002255,0.002392,0.00513,0.000668
sluggish,Fatigue,-0.006156,-0.006661,-0.003291,-0.003085,-0.001827,0.000505,0.00337,0.003576,0.004834,0.000926
listless,Fatigue,0.045794,0.046264,0.050727,0.050682,0.051089,-0.00047,0.004463,0.004418,0.004825,0.000935
shaken,Fear/Anxiety,-0.011994,-0.010859,-0.009674,-0.006447,-0.00617,-0.001135,0.001185,0.004412,0.004689,0.000919
restless,Fatigue,0.028918,0.026769,0.027039,0.030112,0.031261,0.002149,0.00027,0.003343,0.004492,0.000897
vindictive,Defiance/Spite,-0.008294,-0.003485,-0.001191,0.000451,0.000967,-0.004809,0.002294,0.003936,0.004451,0.000802
envious,Shame/Guilt,0.015991,0.021033,0.025583,0.025051,0.025212,-0.005042,0.004551,0.004018,0.00418,0.000865
unsettled,Fear/Anxiety,0.002183,0.003237,0.004124,0.006552,0.007307,-0.001053,0.000887,0.003315,0.00407,0.000836
exasperated,Anger/Hostility,-0.031699,-0.024353,-0.019172,-0.017513,-0.020435,-0.007346,0.005181,0.006841,0.003919,0.001195
valiant,Defiance/Spite,0.019781,0.019518,0.01892,0.022231,0.023414,0.000263,-0.000597,0.002714,0.003896,0.000751
frightened,Fear/Anxiety,-0.018446,-0.019332,-0.019829,-0.016539,-0.015568,0.000886,-0.000497,0.002793,0.003764,0.001116
indifferent,Passive,0.001207,0.002387,0.008247,0.00788,0.006068,-0.00118,0.00586,0.005493,0.003681,0.000937
remorseful,Shame/Guilt,0.031791,0.038271,0.04014,0.043079,0.041848,-0.00648,0.001869,0.004808,0.003576,0.001091
afraid,Fear/Anxiety,-0.017471,-0.018547,-0.019242,-0.016376,-0.015434,0.001077,-0.000695,0.002171,0.003113,0.001035
scared,Fear/Anxiety,-0.010219,-0.011017,-0.011981,-0.0092,-0.008037,0.000797,-0.000964,0.001817,0.00298,0.001021
rattled,Fear/Anxiety,-0.023378,-0.021954,-0.02098,-0.018557,-0.019048,-0.001424,0.000975,0.003398,0.002906,0.000934
resigned,Passive,0.048628,0.052026,0.056692,0.056179,0.054637,-0.003398,0.004666,0.004153,0.002611,0.00112
alarmed,Fear/Anxiety,-0.012878,-0.011727,-0.01281,-0.010222,-0.009831,-0.001151,-0.001083,0.001505,0.001895,0.001014
hysterical,Fear/Anxiety,-0.003714,-0.001803,-0.002209,7.3e-05,-2e-06,-0.001911,-0.000406,0.001877,0.001801,0.001024
tense,Fear/Anxiety,-0.014238,-0.014579,-0.013541,-0.011114,-0.012941,0.000341,0.001038,0.003465,0.001638,0.00076
on edge,Fear/Anxiety,-0.027349,-0.026864,-0.026142,-0.023697,-0.025343,-0.000484,0.000722,0.003167,0.001521,0.000844
guilty,Shame/Guilt,0.015585,0.020263,0.020671,0.02252,0.021703,-0.004678,0.000408,0.002257,0.00144,0.000988
compassionate,Compassion,0.011076,0.006653,0.005294,0.006763,0.008068,0.004423,-0.00136,0.00011,0.001414,0.001008
mortified,Embarrassment,-0.036412,-0.030389,-0.028164,-0.027334,-0.029375,-0.006023,0.002225,0.003055,0.001014,0.001066
safe,Calm/Serenity,0.013698,0.009657,0.009941,0.009612,0.010592,0.004041,0.000284,-4.5e-05,0.000935,0.001041
panicked,Fear/Anxiety,-0.007125,-0.007023,-0.008462,-0.006415,-0.006285,-0.000102,-0.001438,0.000608,0.000738,0.001121
terrified,Fear/Anxiety,-0.002044,-0.002473,-0.004096,-0.002458,-0.001853,0.000428,-0.001623,1.4e-05,0.00062,0.001062
embarrassed,Embarrassment,-0.040257,-0.034388,-0.030927,-0.02991,-0.03381,-0.005869,0.003461,0.004478,0.000578,0.001046
unnerved,Fear/Anxiety,-0.027329,-0.026001,-0.026555,-0.025245,-0.025476,-0.001329,-0.000554,0.000756,0.000524,0.000884
sympathetic,Compassion,0.035327,0.031922,0.030461,0.031376,0.032417,0.003406,-0.00146,-0.000546,0.000495,0.001169
worried,Fear/Anxiety,-0.020757,-0.021764,-0.022474,-0.022155,-0.021422,0.001006,-0.00071,-0.000392,0.000342,0.000849
regretful,Shame/Guilt,0.041143,0.045353,0.045752,0.046084,0.045651,-0.004211,0.000398,0.00073,0.000297,0.000888
kind,Compassion,0.003238,-0.001492,-0.002697,-0.001597,-0.001233,0.00473,-0.001205,-0.000105,0.000259,0.000912
sleepy,Fatigue,-0.011522,-0.013462,-0.012677,-0.012777,-0.013228,0.00194,0.000785,0.000685,0.000234,0.000791
calm,Calm/Serenity,-0.000815,-0.006011,-0.005192,-0.006816,-0.006224,0.005196,0.000819,-0.000805,-0.000212,0.001131
bored,Fatigue,0.033198,0.031669,0.032955,0.031802,0.031396,0.001528,0.001286,0.000133,-0.000273,0.000881
anxious,Fear/Anxiety,-0.028343,-0.029004,-0.030234,-0.029535,-0.029681,0.000661,-0.001229,-0.00053,-0.000677,0.00092
sentimental,Nostalgia,0.043226,0.039176,0.036571,0.03535,0.038109,0.00405,-0.002606,-0.003826,-0.001068,0.00101
shocked,Surprise/Confusion,-0.011173,-0.009341,-0.010427,-0.011106,-0.010448,-0.001832,-0.001087,-0.001765,-0.001108,0.000739
dependent,Shame/Guilt,0.020912,0.019823,0.017309,0.016614,0.018446,0.001089,-0.002514,-0.003209,-0.001377,0.000826
uneasy,Fear/Anxiety,-0.0159,-0.017183,-0.018727,-0.018439,-0.018691,0.001283,-0.001545,-0.001256,-0.001508,0.000851
docile,Passive,0.0423,0.040822,0.043014,0.040905,0.039085,0.001479,0.002192,8.4e-05,-0.001737,0.000929
lazy,Fatigue,0.026347,0.024174,0.02558,0.022603,0.022323,0.002172,0.001406,-0.001571,-0.001851,0.000874
self-critical,Shame/Guilt,-0.002134,0.006513,0.008984,0.00781,0.004651,-0.008647,0.002471,0.001297,-0.001862,0.001453
empathetic,Compassion,0.032151,0.028823,0.026144,0.025057,0.026853,0.003327,-0.002679,-0.003766,-0.00197,0.001123
nostalgic,Nostalgia,0.045206,0.041383,0.0384,0.036138,0.039278,0.003824,-0.002982,-0.005245,-0.002105,0.001013
greedy,Defiance/Spite,0.027731,0.027356,0.025272,0.022779,0.024572,0.000375,-0.002084,-0.004577,-0.002784,0.000817
peaceful,Calm/Serenity,0.01036,0.005259,0.004598,0.002822,0.002174,0.005101,-0.000661,-0.002437,-0.003085,0.001141
fulfilled,Positive/Joy,0.025843,0.021417,0.018571,0.016607,0.018162,0.004426,-0.002846,-0.00481,-0.003255,0.001063
relaxed,Calm/Serenity,0.004304,-0.001358,-0.002232,-0.003972,-0.004977,0.005663,-0.000874,-0.002614,-0.003619,0.001202
serene,Calm/Serenity,0.019962,0.014562,0.013648,0.011409,0.010847,0.0054,-0.000914,-0.003152,-0.003715,0.001099
inspired,Positive/Joy,4.6e-05,-0.005734,-0.010145,-0.014496,-0.00952,0.005779,-0.004411,-0.008762,-0.003786,0.001285
reflective,Nostalgia,0.066816,0.065831,0.063762,0.061278,0.061725,0.000985,-0.002069,-0.004553,-0.004105,0.000839
patient,Passive,0.007824,0.004524,0.003989,0.000951,0.000256,0.0033,-0.000535,-0.003573,-0.004268,0.000811
impatient,Anger/Hostility,-0.011075,-0.012544,-0.013553,-0.014631,-0.016923,0.00147,-0.001009,-0.002087,-0.004379,0.000844
at ease,Calm/Serenity,-0.002237,-0.007618,-0.008935,-0.011159,-0.012062,0.005381,-0.001317,-0.003541,-0.004444,0.001093
thankful,Positive/Joy,0.021145,0.016125,0.011954,0.009411,0.011639,0.00502,-0.00417,-0.006714,-0.004486,0.000995
