condition,phase,n_runs,n_total,n_parsed,bail_rate,bail_rate_macro,sem,delta_vs_baseline,rate_bail_first,rate_continue_first
baseline,prompt,5,10230,10055,0.2635,0.3825,0.0044,0.0,0.1903,0.3356
enraged@-0.1,prompt,1,1023,997,0.2136,0.3115,0.013,-0.0498,0.2136,
enraged@-0.05,prompt,1,1023,905,0.0619,0.1208,0.008,-0.2016,0.0619,
enraged@-0.02,prompt,1,1023,986,0.1521,0.2369,0.0114,-0.1113,0.1521,
enraged@-0.01#052205,prompt,1,1023,982,0.1792,0.2758,0.0122,-0.0842,0.1792,
enraged@0.01#052218,prompt,1,1023,966,0.206,0.3043,0.013,-0.0574,0.206,
enraged@0.02,prompt,1,1023,940,0.1979,0.2838,0.013,-0.0656,0.1979,
enraged@0.05,prompt,1,1023,779,0.0706,0.0887,0.0092,-0.1928,0.0706,
defiant@-0.1,prompt,1,1023,38,0.0526,0.0235,0.0362,-0.2108,0.0526,
defiant@-0.05#042732,prompt,1,256,239,0.2092,0.2499,0.0263,-0.0542,0.2092,
defiant@-0.05#043346,prompt,1,1023,909,0.2332,0.306,0.014,-0.0302,0.2332,
defiant@0.05#042718,prompt,1,512,472,0.0148,0.0149,0.0056,-0.2486,0.0148,
defiant@0.05#043337,prompt,1,1023,924,0.0152,0.0195,0.004,-0.2483,0.0152,
defiant@0.1,prompt,1,1023,18,0.0,0.0,0.0,-0.2635,0.0,
content@-0.05,prompt,1,1023,1009,0.002,0.0042,0.0014,-0.2615,0.002,
content@-0.01,prompt,4,8184,8091,0.2049,0.3044,0.0045,-0.0585,0.1465,0.2627
content@-0.01#050546,prompt,1,1023,995,0.1568,0.238,0.0115,-0.1067,0.1568,
content@-0.01#060524,prompt,1,2046,2026,0.2058,0.3059,0.009,-0.0576,0.148,0.263
content@0.01,prompt,4,8184,7990,0.3424,0.4776,0.0053,0.079,0.2427,0.4401
content@0.01#050607,prompt,1,1023,952,0.2479,0.3516,0.014,-0.0156,0.2479,
content@0.01#063401,prompt,1,2046,1993,0.3377,0.468,0.0106,0.0742,0.2287,0.444
content@0.05,prompt,1,1023,674,0.3338,0.4105,0.0182,0.0704,0.3338,
baseline,tool,5,5115,5104,0.027,0.0151,0.0023,0.0,,
enraged@-0.01#055531,tool,1,256,256,0.0117,0.0052,0.0067,-0.0153,,
enraged@0.01#055603,tool,1,128,128,0.0078,0.0033,0.0078,-0.0192,,
content@-0.01,tool,4,4092,4085,0.034,0.019,0.0028,0.007,,
content@-0.01#060524,tool,1,1023,1022,0.0313,0.019,0.0054,0.0043,,
content@0.01,tool,4,4092,4085,0.0144,0.0065,0.0019,-0.0126,,
content@0.01#063401,tool,1,1023,1021,0.0167,0.0081,0.004,-0.0104,,
