emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
hostile,Anger/Hostility,-0.161465,-0.162621,-0.160217,-0.155929,-0.154181,-0.15754,0.001156,0.002404,0.006692,0.00844,0.005081,0.001317
mad,Anger/Hostility,-0.178283,-0.180881,-0.179502,-0.174979,-0.17365,-0.176731,0.002598,0.001378,0.005902,0.007231,0.00415,0.001491
insulted,Anger/Hostility,-0.122353,-0.123675,-0.121222,-0.117924,-0.117309,-0.119238,0.001322,0.002453,0.005751,0.006366,0.004437,0.001243
furious,Anger/Hostility,-0.214962,-0.219791,-0.219288,-0.215505,-0.213648,-0.216893,0.004829,0.000504,0.004286,0.006144,0.002898,0.001813
hateful,Anger/Hostility,-0.226591,-0.231158,-0.230287,-0.226504,-0.225034,-0.227933,0.004566,0.00087,0.004653,0.006124,0.003225,0.001877
angry,Anger/Hostility,-0.219881,-0.225987,-0.2258,-0.22146,-0.220087,-0.223131,0.006106,0.000187,0.004527,0.0059,0.002856,0.002115
offended,Anger/Hostility,-0.213467,-0.218453,-0.217614,-0.214946,-0.213066,-0.215867,0.004986,0.000838,0.003507,0.005387,0.002586,0.002084
grumpy,Anger/Hostility,0.039169,0.041925,0.044334,0.045911,0.046384,0.045301,-0.002756,0.002409,0.003986,0.004459,0.003376,0.000922
upset,Fear/Anxiety,-0.279957,-0.285817,-0.286001,-0.283134,-0.282002,-0.284215,0.00586,-0.000184,0.002683,0.003815,0.001603,0.00248
sullen,Sadness/Despair,-0.240746,-0.247668,-0.247687,-0.245309,-0.244562,-0.246225,0.006921,-1.9e-05,0.002359,0.003106,0.001443,0.002307
amused,Positive/Joy,0.227145,0.234739,0.236167,0.232705,0.233081,0.23419,-0.007594,0.001427,-0.002034,-0.001659,-0.00055,0.00184
excited,Positive/Joy,0.253927,0.258158,0.258895,0.256765,0.255532,0.257527,-0.004232,0.000737,-0.001393,-0.002626,-0.000631,0.002191
jubilant,Positive/Joy,0.285232,0.291215,0.2916,0.288603,0.288132,0.289806,-0.005983,0.000385,-0.002612,-0.003083,-0.001409,0.002418
awestruck,Surprise/Confusion,-0.113023,-0.113925,-0.115708,-0.116961,-0.117192,-0.116462,0.000901,-0.001783,-0.003037,-0.003268,-0.002537,0.001065
amazed,Surprise/Confusion,0.109033,0.115304,0.115153,0.112818,0.112005,0.113709,-0.00627,-0.00015,-0.002486,-0.003298,-0.001594,0.00158
thrilled,Positive/Joy,0.229427,0.236236,0.236752,0.233797,0.232688,0.234917,-0.006809,0.000516,-0.002439,-0.003548,-0.001319,0.002296
ecstatic,Positive/Joy,0.220608,0.226915,0.227181,0.224368,0.223302,0.225433,-0.006307,0.000266,-0.002547,-0.003613,-0.001482,0.002256
delighted,Positive/Joy,0.245969,0.253107,0.253461,0.25029,0.249171,0.251499,-0.007137,0.000355,-0.002817,-0.003935,-0.001608,0.002451
euphoric,Positive/Joy,0.120609,0.12404,0.123476,0.121081,0.11998,0.121968,-0.003431,-0.000564,-0.002959,-0.00406,-0.002073,0.001402
elated,Positive/Joy,0.216844,0.221434,0.221185,0.218085,0.216988,0.219267,-0.004589,-0.000248,-0.003348,-0.004445,-0.002167,0.002128
