emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
kind,Compassion,0.052521,0.048804,0.051884,0.05078,0.048566,0.050707,0.003717,0.00308,0.001976,-0.000237,0.001904,0.001111
sorry,Sadness/Despair,0.022521,0.022236,0.021236,0.021984,0.021824,0.021777,0.000285,-0.001,-0.000252,-0.000412,-0.000459,0.000937
energized,Positive/Joy,-0.057628,-0.058919,-0.058793,-0.055788,-0.059441,-0.057087,0.001291,0.000126,0.00313,-0.000522,0.001831,0.000893
unsettled,Fear/Anxiety,0.15968,0.161919,0.159689,0.160057,0.161377,0.160171,-0.002239,-0.00223,-0.001862,-0.000542,-0.001748,0.000704
shaken,Fear/Anxiety,-0.052105,-0.057704,-0.059883,-0.054937,-0.058257,-0.056659,0.005599,-0.002178,0.002767,-0.000553,0.001045,0.001173
infatuated,Compassion,-0.050681,-0.050405,-0.049098,-0.052329,-0.050975,-0.05133,-0.000276,0.001307,-0.001924,-0.00057,-0.000925,0.001392
tired,Fatigue,0.180627,0.184055,0.179945,0.180512,0.183381,0.180817,-0.003429,-0.00411,-0.003543,-0.000675,-0.003238,0.000982
smug,Positive/Joy,-0.146244,-0.14404,-0.144623,-0.146019,-0.144715,-0.145476,-0.002204,-0.000583,-0.001978,-0.000675,-0.001436,0.001003
aroused,Alertness,0.069656,0.072405,0.069775,0.070284,0.071595,0.070362,-0.002749,-0.00263,-0.002121,-0.00081,-0.002043,0.000921
gloomy,Sadness/Despair,0.098579,0.099516,0.096571,0.097917,0.098486,0.097676,-0.000937,-0.002945,-0.001599,-0.00103,-0.00184,0.001113
ecstatic,Positive/Joy,-0.057202,-0.057181,-0.059605,-0.059946,-0.058243,-0.0596,-2.1e-05,-0.002424,-0.002766,-0.001063,-0.002419,0.000986
weary,Fatigue,-0.024815,-0.022684,-0.025484,-0.023528,-0.023959,-0.024073,-0.002131,-0.0028,-0.000844,-0.001275,-0.001388,0.001131
invigorated,Positive/Joy,-0.012589,-0.013727,-0.014971,-0.014953,-0.015171,-0.014991,0.001138,-0.001244,-0.001226,-0.001444,-0.001264,0.000778
dumbstruck,Surprise/Confusion,-0.020647,-0.021736,-0.024958,-0.023942,-0.023228,-0.02408,0.001089,-0.003222,-0.002206,-0.001492,-0.002344,0.000938
jubilant,Positive/Joy,0.054031,0.049821,0.051173,0.051061,0.048327,0.050666,0.004209,0.001351,0.001239,-0.001494,0.000844,0.001025
grateful,Positive/Joy,0.119197,0.119854,0.119992,0.118382,0.118272,0.118758,-0.000657,0.000139,-0.001472,-0.001582,-0.001095,0.000844
empathetic,Compassion,-0.027087,-0.027787,-0.025697,-0.028899,-0.029381,-0.028191,0.0007,0.00209,-0.001112,-0.001594,-0.000404,0.001108
droopy,Fatigue,-0.005822,-0.005104,-0.007926,-0.007509,-0.006859,-0.007511,-0.000717,-0.002822,-0.002405,-0.001755,-0.002406,0.001014
perplexed,Surprise/Confusion,-0.169076,-0.173251,-0.170657,-0.174029,-0.175069,-0.173366,0.004175,0.002594,-0.000778,-0.001818,-0.000115,0.001404
docile,Passive,0.097337,0.10047,0.097817,0.098132,0.098463,0.098106,-0.003133,-0.002653,-0.002338,-0.002007,-0.002364,0.000852
astonished,Surprise/Confusion,-0.087493,-0.088784,-0.089056,-0.090568,-0.090859,-0.090244,0.001291,-0.000272,-0.001785,-0.002075,-0.00146,0.000895
stimulated,Alertness,0.054176,0.051108,0.048896,0.050453,0.049032,0.049853,0.003068,-0.002212,-0.000655,-0.002076,-0.001255,0.000951
self-conscious,Embarrassment,-0.082886,-0.087041,-0.085131,-0.089161,-0.089132,-0.088172,0.004155,0.001911,-0.00212,-0.00209,-0.00113,0.001278
playful,Positive/Joy,-0.108191,-0.106853,-0.105762,-0.107972,-0.10895,-0.107583,-0.001338,0.001091,-0.001119,-0.002096,-0.00073,0.001114
disoriented,Surprise/Confusion,-0.034574,-0.033403,-0.036165,-0.035127,-0.035533,-0.035444,-0.001171,-0.002762,-0.001724,-0.00213,-0.00204,0.000914
panicked,Fear/Anxiety,0.013672,0.01164,0.007745,0.006323,0.009387,0.007144,0.002032,-0.003895,-0.005317,-0.002253,-0.004496,0.000977
self-critical,Shame/Guilt,-0.147213,-0.148181,-0.147176,-0.148345,-0.150495,-0.148392,0.000968,0.001006,-0.000164,-0.002314,-0.000211,0.000818
embarrassed,Embarrassment,-0.046712,-0.04504,-0.048805,-0.051953,-0.047403,-0.05048,-0.001671,-0.003765,-0.006913,-0.002362,-0.00544,0.0009
awestruck,Surprise/Confusion,0.147672,0.146876,0.142208,0.141694,0.144384,0.142235,0.000796,-0.004668,-0.005182,-0.002492,-0.00464,0.001003
resigned,Passive,0.020274,0.020677,0.017033,0.018706,0.018138,0.018209,-0.000403,-0.003644,-0.001971,-0.002539,-0.002468,0.000971
eager,Positive/Joy,0.067632,0.066603,0.062519,0.063618,0.063981,0.063406,0.001029,-0.004084,-0.002985,-0.002622,-0.003198,0.00089
uneasy,Fear/Anxiety,-0.074748,-0.07485,-0.076066,-0.07692,-0.077632,-0.076821,0.000103,-0.001215,-0.002069,-0.002782,-0.001971,0.000837
worried,Fear/Anxiety,0.058694,0.056954,0.059529,0.055991,0.053993,0.056546,0.00174,0.002574,-0.000964,-0.002961,-0.000408,0.001226
loving,Compassion,0.072937,0.070452,0.07032,0.067443,0.067425,0.068143,0.002485,-0.000131,-0.003009,-0.003027,-0.002308,0.000966
surprised,Surprise/Confusion,-0.130686,-0.129431,-0.132751,-0.132848,-0.13255,-0.132778,-0.001255,-0.00332,-0.003416,-0.003118,-0.003347,0.000789
self-confident,Positive/Joy,-0.004877,-0.006048,-0.007333,-0.007147,-0.009248,-0.007517,0.001171,-0.001285,-0.001099,-0.0032,-0.001469,0.000947
bewildered,Surprise/Confusion,0.143782,0.139707,0.137614,0.139611,0.136495,0.138641,0.004075,-0.002093,-9.6e-05,-0.003212,-0.001066,0.000936
inspired,Positive/Joy,-0.016593,-0.015705,-0.019487,-0.019616,-0.018975,-0.019486,-0.000887,-0.003782,-0.003911,-0.00327,-0.00378,0.000968
relieved,Positive/Joy,0.070543,0.069931,0.068931,0.067895,0.066582,0.067945,0.000613,-0.001,-0.002036,-0.003349,-0.001986,0.000784
puzzled,Surprise/Confusion,0.011673,0.010314,0.007702,0.006524,0.006872,0.006866,0.001358,-0.002612,-0.003791,-0.003442,-0.003449,0.000694
blissful,Positive/Joy,0.070976,0.071798,0.069558,0.070915,0.068266,0.070174,-0.000822,-0.00224,-0.000883,-0.003533,-0.001624,0.000837
sleepy,Fatigue,0.172856,0.175123,0.170779,0.169078,0.171513,0.16987,-0.002266,-0.004343,-0.006044,-0.00361,-0.005252,0.001028
optimistic,Positive/Joy,-0.022171,-0.023566,-0.024931,-0.027262,-0.027187,-0.026681,0.001395,-0.001365,-0.003696,-0.003622,-0.003115,0.001074
grief-stricken,Sadness/Despair,0.055575,0.05967,0.054275,0.052689,0.056031,0.053593,-0.004095,-0.005395,-0.006981,-0.003639,-0.006077,0.001229
vulnerable,Fear/Anxiety,-0.008028,-0.005902,-0.007299,-0.007824,-0.009548,-0.007962,-0.002126,-0.001398,-0.001922,-0.003647,-0.00206,0.000982
terrified,Fear/Anxiety,-0.085129,-0.088661,-0.088249,-0.089413,-0.092354,-0.089583,0.003532,0.000412,-0.000752,-0.003693,-0.000922,0.001244
on edge,Fear/Anxiety,-0.024534,-0.024734,-0.027861,-0.029814,-0.028505,-0.029134,0.0002,-0.003127,-0.005079,-0.003771,-0.0044,0.000887
exuberant,Positive/Joy,0.001071,0.000257,-0.004087,-0.005311,-0.003535,-0.004737,0.000813,-0.004344,-0.005568,-0.003792,-0.004994,0.001016
reflective,Nostalgia,-0.014561,-0.017212,-0.019916,-0.019708,-0.02109,-0.019973,0.002651,-0.002704,-0.002496,-0.003877,-0.002761,0.000702
joyful,Positive/Joy,-0.014479,-0.015396,-0.018092,-0.018468,-0.019442,-0.018527,0.000917,-0.002697,-0.003073,-0.004046,-0.003131,0.000988
depressed,Sadness/Despair,0.019861,0.021041,0.017974,0.015325,0.016932,0.016221,-0.00118,-0.003067,-0.005717,-0.004109,-0.004821,0.000849
mystified,Surprise/Confusion,-0.064318,-0.063937,-0.068775,-0.069144,-0.06805,-0.068885,-0.000382,-0.004838,-0.005208,-0.004113,-0.004948,0.000843
pleased,Positive/Joy,-0.061404,-0.060765,-0.06388,-0.065044,-0.065269,-0.064794,-0.000639,-0.003116,-0.004279,-0.004504,-0.00403,0.000931
lonely,Sadness/Despair,0.110202,0.107588,0.107575,0.104162,0.102807,0.104787,0.002614,-1.3e-05,-0.003426,-0.004782,-0.002801,0.000953
rattled,Fear/Anxiety,-0.071202,-0.071788,-0.074588,-0.076679,-0.076679,-0.076168,0.000585,-0.002801,-0.004892,-0.004891,-0.004381,0.001007
fulfilled,Positive/Joy,0.035493,0.032004,0.031708,0.029918,0.027112,0.029922,0.003489,-0.000296,-0.002086,-0.004892,-0.002083,0.000921
amused,Positive/Joy,-0.091276,-0.092424,-0.095068,-0.096102,-0.097316,-0.096037,0.001148,-0.002644,-0.003678,-0.004892,-0.003613,0.001056
relaxed,Calm/Serenity,-0.011282,-0.01271,-0.017337,-0.018314,-0.017666,-0.017975,0.001427,-0.004627,-0.005605,-0.004956,-0.005266,0.000904
indifferent,Passive,-0.145233,-0.149679,-0.147782,-0.151213,-0.154697,-0.150913,0.004447,0.001898,-0.001534,-0.005018,-0.001234,0.001228
sluggish,Fatigue,0.063544,0.063714,0.06238,0.058211,0.058667,0.0593,-0.00017,-0.001334,-0.005503,-0.005048,-0.004414,0.000876
cheerful,Positive/Joy,-0.112049,-0.111922,-0.113802,-0.115133,-0.11707,-0.115107,-0.000127,-0.001879,-0.00321,-0.005148,-0.003185,0.000745
