model,method,n_prompts,orig_rate,rude_rate,diff,ci_lo,ci_hi,nonzero_pairs,wilcoxon_p
Gemma 4 31B,tool,1630,0.0,0.0,0.0,0.0,0.0,0,
Gemma 4 31B,prompt_bail_first,1630,0.004233128834355828,0.0152760736196319,0.011042944785276074,0.007484662576687116,0.014907975460122699,70,4.735514858183167e-10
Gemma 4 31B,prompt_continue_first,1630,0.025644171779141103,0.13533742331288345,0.10969325153374233,0.09721796182685753,0.12235923653715064,392,1.692618265243903e-59
Claude Sonnet 5,tool,200,0.0,0.0,0.0,0.0,0.0,0,
Claude Sonnet 5,prompt_bail_first,192,0.0010416666666666667,0.008333333333333333,0.007291666666666666,0.0,0.017708333333333336,3,
Claude Sonnet 5,prompt_continue_first,192,0.007291666666666666,0.010416666666666666,0.0031250000000000006,-0.0020833333333333333,0.010416666666666666,3,
