emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
amused,Positive/Joy,0.002206,0.005585,0.011972,0.013956,0.014328,0.013529,-0.003379,0.006388,0.008372,0.008743,0.007944,0.0007
angry,Anger/Hostility,-0.003555,-0.002406,0.001403,0.003348,0.005947,0.003275,-0.001149,0.00381,0.005754,0.008353,0.005681,0.000703
grumpy,Anger/Hostility,0.002914,0.00613,0.009647,0.011014,0.014432,0.011208,-0.003217,0.003516,0.004884,0.008301,0.005078,0.000968
exuberant,Positive/Joy,-0.000565,0.002742,0.007639,0.011072,0.010834,0.010196,-0.003307,0.004897,0.00833,0.008092,0.007454,0.000805
delighted,Positive/Joy,-0.023751,-0.018192,-0.013601,-0.011067,-0.01039,-0.011582,-0.00556,0.004591,0.007124,0.007802,0.00661,0.000792
alert,Alertness,-0.005052,-0.003378,0.001594,0.003269,0.00421,0.003005,-0.001674,0.004972,0.006647,0.007588,0.006383,0.000799
mortified,Embarrassment,-0.005211,-0.003629,-0.001839,0.000448,0.003569,0.000372,-0.001582,0.00179,0.004077,0.007198,0.004001,0.00073
spiteful,Defiance/Spite,-0.013873,-0.010421,-0.004688,-0.003431,-0.00342,-0.003737,-0.003452,0.005733,0.00699,0.007001,0.006685,0.000839
ecstatic,Positive/Joy,-0.008548,-0.007245,-0.004112,0.000265,-0.000527,-0.000927,-0.001303,0.003133,0.00751,0.006717,0.006318,0.000814
sad,Sadness/Despair,0.019122,0.018395,0.018866,0.023599,0.024945,0.02265,0.000727,0.000471,0.005204,0.00655,0.004255,0.000743
inspired,Positive/Joy,0.000509,0.002899,0.005013,0.00958,0.009368,0.008431,-0.00239,0.002114,0.006682,0.006469,0.005532,0.000788
defiant,Defiance/Spite,-0.008765,-0.009495,-0.006413,-0.005369,-0.003064,-0.005268,0.00073,0.003081,0.004125,0.006431,0.004227,0.000678
energized,Positive/Joy,-0.014543,-0.012312,-0.009896,-0.006753,-0.005958,-0.007398,-0.00223,0.002417,0.00556,0.006355,0.004915,0.000727
skeptical,Suspicion,0.009363,0.008824,0.013178,0.015001,0.014992,0.014554,0.000539,0.004354,0.006178,0.006169,0.00573,0.000887
frustrated,Anger/Hostility,0.000209,0.00047,0.002373,0.005695,0.006479,0.005004,-0.000261,0.001903,0.005225,0.00601,0.004534,0.000601
exasperated,Anger/Hostility,-0.003951,-0.003541,0.001128,0.000637,0.002072,0.000979,-0.000409,0.00467,0.004179,0.005613,0.00452,0.000902
self-critical,Shame/Guilt,0.040387,0.044537,0.045451,0.046776,0.050028,0.046955,-0.004149,0.000915,0.00224,0.005491,0.002419,0.000839
brooding,Sadness/Despair,0.003406,-0.000779,0.000281,0.00279,0.004643,0.002463,0.004185,0.00106,0.003569,0.005422,0.003242,0.000802
enthusiastic,Positive/Joy,0.009344,0.010609,0.014528,0.016608,0.015828,0.015979,-0.001265,0.003919,0.005999,0.005219,0.00537,0.000707
terrified,Fear/Anxiety,-0.004616,-0.003672,-0.002275,-0.001255,0.001351,-0.001101,-0.000944,0.001397,0.002417,0.005023,0.002571,0.000607
stuck,Sadness/Despair,0.005243,0.003743,0.004994,0.006054,0.008753,0.006212,0.0015,0.001251,0.00231,0.00501,0.002469,0.000702
annoyed,Anger/Hostility,-0.007345,-0.00818,-0.00498,-0.004545,-0.003332,-0.004464,0.000836,0.003201,0.003635,0.004848,0.003717,0.0008
cheerful,Positive/Joy,0.007114,0.009832,0.010829,0.013848,0.014653,0.013234,-0.002718,0.000997,0.004016,0.004821,0.003403,0.000804
relieved,Positive/Joy,-0.004247,-0.005315,-0.003106,-0.000965,-0.000655,-0.00144,0.001069,0.002209,0.00435,0.00466,0.003875,0.000648
weary,Fatigue,0.020725,0.021096,0.022637,0.025452,0.025525,0.024775,-0.000371,0.001541,0.004357,0.004429,0.00368,0.00068
