emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
invigorated,Positive/Joy,-0.002942,-0.000985,0.000642,0.00354,0.00339,0.002808,-0.001957,0.001627,0.004525,0.004375,0.003793,0.000799
content,Calm/Serenity,-0.012032,-0.009752,-0.007145,-0.006476,-0.00554,-0.006495,-0.002279,0.002608,0.003276,0.004212,0.003258,0.000655
sorry,Sadness/Despair,-0.013426,-0.014807,-0.012553,-0.01149,-0.010604,-0.011613,0.001381,0.002254,0.003317,0.004203,0.003194,0.000712
troubled,Fear/Anxiety,0.009627,0.011567,0.012197,0.014622,0.015716,0.014198,-0.00194,0.00063,0.003055,0.004149,0.002631,0.000696
envious,Shame/Guilt,0.004079,0.008055,0.009218,0.011546,0.012132,0.011068,-0.003976,0.001163,0.003491,0.004076,0.003012,0.000657
hostile,Anger/Hostility,0.006431,0.008573,0.012157,0.012193,0.01232,0.012204,-0.002142,0.003584,0.00362,0.003747,0.003631,0.000755
thrilled,Positive/Joy,0.002819,0.006277,0.011515,0.012461,0.009999,0.011849,-0.003458,0.005238,0.006184,0.003722,0.005572,0.000789
vibrant,Positive/Joy,0.006654,0.010063,0.010722,0.013664,0.013665,0.012945,-0.00341,0.000659,0.003601,0.003602,0.002882,0.000883
stimulated,Alertness,0.001972,-0.000749,0.0002,0.003343,0.002842,0.002497,0.002721,0.000948,0.004092,0.003591,0.003246,0.000745
optimistic,Positive/Joy,-0.015557,-0.012765,-0.009806,-0.006307,-0.009282,-0.007622,-0.002792,0.002959,0.006458,0.003483,0.005143,0.000721
bitter,Shame/Guilt,0.006118,0.004935,0.009534,0.009256,0.008403,0.009192,0.001183,0.004599,0.004321,0.003467,0.004257,0.000764
hysterical,Fear/Anxiety,-0.00186,0.000652,-0.001689,0.000303,0.004079,0.0004,-0.002512,-0.002341,-0.000348,0.003427,-0.000252,0.000713
tense,Fear/Anxiety,0.005771,0.006597,0.008275,0.010157,0.009947,0.009665,-0.000826,0.001678,0.003561,0.00335,0.003068,0.000673
outraged,Anger/Hostility,0.005624,0.005352,0.008309,0.009248,0.008488,0.008901,0.000272,0.002957,0.003896,0.003136,0.003549,0.00063
offended,Anger/Hostility,0.008989,0.011561,0.01203,0.012476,0.014695,0.01271,-0.002573,0.000468,0.000915,0.003134,0.001149,0.000656
contemptuous,Anger/Hostility,0.016853,0.019391,0.020554,0.019981,0.022487,0.020509,-0.002538,0.001163,0.000591,0.003096,0.001118,0.000705
refreshed,Positive/Joy,0.001907,0.001627,0.003776,0.003431,0.004667,0.003706,0.000279,0.002149,0.001803,0.00304,0.002079,0.000852
unhappy,Sadness/Despair,-0.00243,-0.005049,-0.004031,-0.003478,-0.002024,-0.003388,0.002619,0.001018,0.001571,0.003025,0.001661,0.000729
kind,Compassion,-0.012685,-0.014146,-0.011119,-0.010228,-0.01155,-0.01065,0.001462,0.003027,0.003918,0.002597,0.003496,0.00064
furious,Anger/Hostility,-0.003874,-0.004303,-0.00537,-0.004157,-0.001742,-0.00408,0.00043,-0.001067,0.000146,0.002561,0.000223,0.000708
euphoric,Positive/Joy,-0.001569,0.000629,0.000751,0.00376,0.0031,0.002922,-0.002198,0.000122,0.003131,0.002471,0.002294,0.000735
mad,Anger/Hostility,-0.009645,-0.011328,-0.011678,-0.010925,-0.008912,-0.010798,0.001683,-0.000349,0.000403,0.002417,0.000531,0.000683
sullen,Sadness/Despair,-0.006862,-0.007032,-0.007032,-0.007895,-0.004699,-0.00719,0.00017,0.0,-0.000864,0.002333,-0.000158,0.000904
sensitive,Fear/Anxiety,0.004867,0.001411,0.002432,0.00382,0.003545,0.003438,0.003456,0.001021,0.00241,0.002134,0.002028,0.000754
indignant,Anger/Hostility,-0.002386,0.000242,0.003559,0.003627,0.002356,0.003414,-0.002627,0.003317,0.003385,0.002114,0.003172,0.000604
mystified,Surprise/Confusion,0.008418,0.009916,0.012009,0.012227,0.011882,0.01212,-0.001498,0.002093,0.002311,0.001966,0.002205,0.000651
uneasy,Fear/Anxiety,0.009172,0.010005,0.011278,0.01075,0.01194,0.011063,-0.000833,0.001272,0.000744,0.001935,0.001057,0.000901
irate,Anger/Hostility,-0.005675,-0.005531,-0.001017,-0.002929,-0.003656,-0.002574,-0.000144,0.004515,0.002602,0.001876,0.002957,0.000816
triumphant,Positive/Joy,-0.005689,-0.004394,-0.002549,-0.002541,-0.002519,-0.00254,-0.001294,0.001845,0.001853,0.001875,0.001854,0.000632
lazy,Fatigue,0.019185,0.017303,0.019243,0.019333,0.01915,0.019282,0.001883,0.00194,0.00203,0.001847,0.00198,0.000734
astonished,Surprise/Confusion,-0.001299,-0.000321,0.00134,-0.001162,0.001498,-0.000139,-0.000978,0.001661,-0.000841,0.001819,0.000182,0.000702
fulfilled,Positive/Joy,-0.020368,-0.018317,-0.016089,-0.016113,-0.016532,-0.016172,-0.002051,0.002228,0.002204,0.001785,0.002145,0.000799
enraged,Anger/Hostility,-0.013022,-0.011406,-0.012564,-0.011481,-0.009768,-0.011481,-0.001617,-0.001158,-7.5e-05,0.001637,-7.5e-05,0.000615
smug,Positive/Joy,-0.01327,-0.011009,-0.006821,-0.008054,-0.009582,-0.007989,-0.002261,0.004189,0.002956,0.001428,0.003021,0.000816
peaceful,Calm/Serenity,-0.018192,-0.019256,-0.019611,-0.019436,-0.017849,-0.019233,0.001064,-0.000355,-0.00018,0.001407,2.3e-05,0.000804
reflective,Nostalgia,-0.001286,-0.001372,-0.003115,-0.003621,-5.5e-05,-0.002946,8.6e-05,-0.001742,-0.002249,0.001317,-0.001574,0.0007
shaken,Fear/Anxiety,-0.01295,-0.013438,-0.015174,-0.014317,-0.012212,-0.014201,0.000489,-0.001736,-0.000879,0.001226,-0.000763,0.00066
vulnerable,Fear/Anxiety,0.024583,0.024198,0.022812,0.023537,0.02538,0.023645,0.000386,-0.001386,-0.00066,0.001183,-0.000553,0.000525
impatient,Anger/Hostility,-0.002485,0.00162,0.002603,0.003441,0.002711,0.003123,-0.004105,0.000982,0.00182,0.001091,0.001503,0.000657
stressed,Fear/Anxiety,0.020738,0.020142,0.017001,0.01897,0.021074,0.018814,0.000596,-0.003141,-0.001172,0.000932,-0.001328,0.00073
desperate,Sadness/Despair,-0.007064,-0.007138,-0.009434,-0.008359,-0.006253,-0.008296,7.4e-05,-0.002296,-0.001221,0.000886,-0.001158,0.000741
hopeful,Positive/Joy,-0.008559,-0.006676,-0.006742,-0.00585,-0.005822,-0.006064,-0.001883,-6.6e-05,0.000825,0.000854,0.000612,0.000646
irritated,Anger/Hostility,0.001934,0.003047,0.003758,0.005424,0.00386,0.004775,-0.001113,0.000711,0.002377,0.000813,0.001728,0.000745
obstinate,Defiance/Spite,-0.002279,-0.001242,0.001685,0.000727,-0.000484,0.000774,-0.001036,0.002927,0.001969,0.000759,0.002016,0.000779
self-conscious,Embarrassment,0.009502,0.008369,0.007084,0.007923,0.009063,0.007895,0.001134,-0.001284,-0.000445,0.000695,-0.000474,0.00072
surprised,Surprise/Confusion,-0.013966,-0.007965,-0.007705,-0.008003,-0.007379,-0.007834,-0.006001,0.000259,-3.9e-05,0.000586,0.000131,0.000819
satisfied,Positive/Joy,-0.021027,-0.018318,-0.018339,-0.018695,-0.017799,-0.018469,-0.002709,-2.1e-05,-0.000377,0.000519,-0.000152,0.000713
dispirited,Sadness/Despair,-0.003574,-0.005132,-0.006495,-0.006944,-0.004623,-0.006476,0.001558,-0.001363,-0.001812,0.000509,-0.001344,0.000766
scornful,Anger/Hostility,0.002015,0.000946,0.001295,-0.001315,0.001432,-0.000252,0.00107,0.00035,-0.002261,0.000486,-0.001198,0.000677
vengeful,Defiance/Spite,0.001054,0.00197,0.003951,0.002905,0.002282,0.003064,-0.000916,0.00198,0.000934,0.000312,0.001094,0.000796
insulted,Anger/Hostility,-0.002319,-0.001366,0.000679,-0.000142,-0.001072,-8.5e-05,-0.000953,0.002045,0.001224,0.000295,0.001281,0.000654
indifferent,Passive,0.008694,0.00799,0.011653,0.008648,0.008199,0.009313,0.000704,0.003662,0.000658,0.000209,0.001323,0.000638
vindictive,Defiance/Spite,-0.005507,-0.006899,-0.005214,-0.005807,-0.006706,-0.005801,0.001392,0.001685,0.001091,0.000193,0.001098,0.000698
playful,Positive/Joy,0.012116,0.016519,0.015712,0.015294,0.016694,0.015613,-0.004403,-0.000807,-0.001225,0.000175,-0.000906,0.00082
valiant,Defiance/Spite,-0.021608,-0.022197,-0.020952,-0.021074,-0.022059,-0.021197,0.000588,0.001244,0.001122,0.000138,0.001,0.000571
rattled,Fear/Anxiety,0.027625,0.026801,0.026271,0.02572,0.026936,0.026042,0.000824,-0.000531,-0.001081,0.000135,-0.000759,0.000576
hope,Positive/Joy,-0.017411,-0.015935,-0.014891,-0.013468,-0.015805,-0.014177,-0.001475,0.001045,0.002467,0.00013,0.001758,0.000667
aroused,Alertness,-0.001607,0.000786,-0.000459,-0.000566,0.000887,-0.000316,-0.002394,-0.001246,-0.001353,0.0001,-0.001102,0.000713
at ease,Calm/Serenity,-0.003202,-0.002497,-0.001819,-0.002119,-0.002681,-0.002133,-0.000705,0.000677,0.000378,-0.000184,0.000364,0.000743
shocked,Surprise/Confusion,-0.002647,7.6e-05,-0.001469,-0.001142,-0.000172,-0.001072,-0.002723,-0.001545,-0.001218,-0.000248,-0.001148,0.00064
bewildered,Surprise/Confusion,0.001408,-0.000984,-0.001499,-0.002085,-0.001241,-0.001811,0.002392,-0.000515,-0.0011,-0.000257,-0.000827,0.000754
hurt,Fear/Anxiety,0.012613,0.011857,0.008658,0.008801,0.011595,0.009198,0.000755,-0.003199,-0.003057,-0.000263,-0.00266,0.000701
hateful,Anger/Hostility,0.000968,-0.000172,0.000127,-0.001775,-0.000444,-0.001104,0.001139,0.000299,-0.001603,-0.000273,-0.000933,0.000693
disoriented,Surprise/Confusion,0.020369,0.01925,0.014208,0.016773,0.018839,0.016465,0.001119,-0.005042,-0.002477,-0.000411,-0.002784,0.000781
unsettled,Fear/Anxiety,-0.002589,-0.004126,-0.006387,-0.006086,-0.004561,-0.005924,0.001537,-0.002261,-0.001961,-0.000435,-0.001798,0.000619
panicked,Fear/Anxiety,0.014882,0.015217,0.013694,0.014752,0.014695,0.014485,-0.000336,-0.001523,-0.000465,-0.000522,-0.000733,0.000644
vigilant,Suspicion,-0.006772,-0.007227,-0.00502,-0.006883,-0.007831,-0.006574,0.000455,0.002207,0.000344,-0.000604,0.000653,0.000654
elated,Positive/Joy,0.009977,0.013461,0.01434,0.014664,0.012795,0.014296,-0.003484,0.000879,0.001203,-0.000665,0.000835,0.000774
sympathetic,Compassion,-0.006914,-0.006524,-0.002393,-0.00492,-0.007193,-0.004654,-0.00039,0.00413,0.001604,-0.000669,0.00187,0.000566
dumbstruck,Surprise/Confusion,0.006518,0.003948,0.002923,0.002905,0.00325,0.002963,0.002571,-0.001025,-0.001043,-0.000698,-0.000985,0.000578
remorseful,Shame/Guilt,0.036551,0.037469,0.034561,0.035155,0.036696,0.035248,-0.000917,-0.002908,-0.002314,-0.000773,-0.002221,0.000536
jealous,Shame/Guilt,0.011154,0.012817,0.013266,0.012557,0.011981,0.012641,-0.001663,0.000449,-0.000261,-0.000836,-0.000176,0.000686
calm,Calm/Serenity,-0.018017,-0.017024,-0.015031,-0.016595,-0.017865,-0.016409,-0.000992,0.001993,0.000429,-0.000841,0.000615,0.000613
patient,Passive,-0.013684,-0.014761,-0.014958,-0.016663,-0.015659,-0.016091,0.001077,-0.000197,-0.001903,-0.000898,-0.001331,0.000674
alarmed,Fear/Anxiety,0.015004,0.012695,0.012746,0.013751,0.011759,0.013197,0.002309,5e-05,0.001056,-0.000937,0.000502,0.000743
happy,Positive/Joy,0.005191,0.007292,0.00708,0.006353,0.006278,0.006519,-0.002101,-0.000212,-0.000939,-0.001014,-0.000773,0.000746
miserable,Sadness/Despair,0.006472,0.002351,0.000841,0.00028,0.001332,0.00058,0.004121,-0.00151,-0.002071,-0.001019,-0.001771,0.000685
empathetic,Compassion,-0.007316,-0.007458,-0.006772,-0.006821,-0.008486,-0.007066,0.000142,0.000686,0.000637,-0.001028,0.000392,0.000853
disdainful,Anger/Hostility,-0.005588,-0.006323,-0.002886,-0.005626,-0.00741,-0.005232,0.000735,0.003437,0.000698,-0.001087,0.001091,0.000831
docile,Passive,0.000355,-0.001196,-0.00425,-0.004661,-0.002361,-0.004205,0.001551,-0.003054,-0.003465,-0.001165,-0.003009,0.000689
awestruck,Surprise/Confusion,-0.007577,-0.009006,-0.008475,-0.008695,-0.010334,-0.008895,0.00143,0.000531,0.000311,-0.001327,0.000111,0.000651
self-confident,Positive/Joy,-0.011966,-0.011541,-0.008515,-0.012848,-0.012889,-0.011795,-0.000425,0.003026,-0.001307,-0.001348,-0.000254,0.000746
thankful,Positive/Joy,-0.012411,-0.011897,-0.013815,-0.012884,-0.013345,-0.013183,-0.000514,-0.001917,-0.000987,-0.001448,-0.001285,0.000676
suspicious,Suspicion,-0.002794,-0.002379,-0.003275,-0.00345,-0.003857,-0.00347,-0.000415,-0.000896,-0.001072,-0.001478,-0.001092,0.000655
perplexed,Surprise/Confusion,0.013444,0.012499,0.011262,0.012508,0.010895,0.011954,0.000945,-0.001237,8e-06,-0.001604,-0.000545,0.000956
sluggish,Fatigue,0.028983,0.025102,0.025046,0.02506,0.023419,0.024803,0.003881,-5.6e-05,-4.2e-05,-0.001683,-0.000299,0.000602
greedy,Defiance/Spite,0.011554,0.012394,0.013646,0.013082,0.010678,0.012848,-0.00084,0.001252,0.000688,-0.001717,0.000454,0.0007
amazed,Surprise/Confusion,-0.000561,-0.001507,-0.001198,-0.001643,-0.00364,-0.001843,0.000947,0.000309,-0.000136,-0.002133,-0.000336,0.000665
humiliated,Embarrassment,0.017353,0.017718,0.013187,0.013207,0.015538,0.013563,-0.000365,-0.004531,-0.004511,-0.00218,-0.004155,0.000743
anxious,Fear/Anxiety,-0.002388,-0.004811,-0.006943,-0.00799,-0.007,-0.007581,0.002423,-0.002132,-0.003178,-0.002188,-0.00277,0.000654
puzzled,Surprise/Confusion,0.011058,0.010622,0.010685,0.007978,0.008417,0.008708,0.000436,6.3e-05,-0.002644,-0.002206,-0.001915,0.000646
tired,Fatigue,0.018837,0.015632,0.015039,0.014683,0.0134,0.014572,0.003206,-0.000593,-0.000948,-0.002232,-0.00106,0.000672
worn out,Fatigue,-0.007857,-0.008561,-0.012359,-0.011472,-0.010812,-0.011586,0.000703,-0.003798,-0.002911,-0.002251,-0.003026,0.000899
resigned,Passive,0.007584,0.005533,0.001358,0.000125,0.003277,0.000913,0.002051,-0.004175,-0.005408,-0.002256,-0.004619,0.000765
disgusted,Anger/Hostility,-0.008385,-0.009536,-0.010694,-0.010992,-0.0118,-0.011044,0.001151,-0.001159,-0.001457,-0.002264,-0.001509,0.000567
frightened,Fear/Anxiety,0.002883,0.001007,-0.002333,-0.002915,-0.001264,-0.002517,0.001877,-0.003339,-0.003922,-0.002271,-0.003524,0.000632
bored,Fatigue,0.011541,0.007532,0.008036,0.007763,0.005227,0.007437,0.004009,0.000504,0.00023,-0.002305,-9.5e-05,0.000835
overwhelmed,Fear/Anxiety,0.006207,0.00397,0.002992,0.001703,0.001627,0.002006,0.002237,-0.000978,-0.002267,-0.002343,-0.001964,0.000793
jubilant,Positive/Joy,-0.016466,-0.014978,-0.014957,-0.016384,-0.017331,-0.016182,-0.001488,2.2e-05,-0.001406,-0.002352,-0.001203,0.000689
eager,Positive/Joy,-0.007795,-0.009712,-0.01268,-0.012023,-0.012091,-0.012194,0.001917,-0.002968,-0.002311,-0.002379,-0.002482,0.000721
joyful,Positive/Joy,-0.004483,-0.002511,-0.005079,-0.005059,-0.005097,-0.00507,-0.001973,-0.002569,-0.002548,-0.002587,-0.002559,0.00088
relaxed,Calm/Serenity,-0.002692,-0.003137,-0.003049,-0.002936,-0.005809,-0.003408,0.000446,8.9e-05,0.000202,-0.002672,-0.00027,0.000763
stubborn,Defiance/Spite,-0.006862,-0.008783,-0.007289,-0.008021,-0.011534,-0.008386,0.001921,0.001494,0.000762,-0.002751,0.000398,0.000752
pleased,Positive/Joy,-0.01023,-0.00836,-0.01082,-0.010315,-0.011196,-0.010575,-0.001869,-0.00246,-0.001955,-0.002836,-0.002215,0.000804
ashamed,Shame/Guilt,0.0335,0.034026,0.031287,0.029213,0.030944,0.029987,-0.000526,-0.002739,-0.004813,-0.003082,-0.004039,0.000793
proud,Positive/Joy,-0.023626,-0.02525,-0.022428,-0.02478,-0.028397,-0.024765,0.001624,0.002821,0.000469,-0.003148,0.000485,0.000722
excited,Positive/Joy,-0.020337,-0.016804,-0.019251,-0.019156,-0.020139,-0.019331,-0.003534,-0.002447,-0.002352,-0.003335,-0.002527,0.000722
safe,Calm/Serenity,-0.001309,-0.001045,0.001239,-0.002846,-0.00442,-0.002091,-0.000264,0.002284,-0.001801,-0.003375,-0.001046,0.000787
blissful,Positive/Joy,-0.02267,-0.023356,-0.026514,-0.025559,-0.026887,-0.025998,0.000687,-0.003158,-0.002203,-0.00353,-0.002641,0.000665
sleepy,Fatigue,0.010125,0.004158,0.00412,0.001408,0.000582,0.001943,0.005967,-3.8e-05,-0.00275,-0.003576,-0.002215,0.000904
disturbed,Fear/Anxiety,-0.001433,-0.000411,-0.003909,-0.005378,-0.004099,-0.004821,-0.001023,-0.003499,-0.004967,-0.003688,-0.004411,0.000643
tormented,Fear/Anxiety,-0.016369,-0.018665,-0.020633,-0.022076,-0.022367,-0.021768,0.002295,-0.001968,-0.003411,-0.003702,-0.003103,0.000646
unnerved,Fear/Anxiety,-0.004408,-0.007469,-0.007803,-0.008871,-0.011287,-0.008984,0.00306,-0.000335,-0.001403,-0.003818,-0.001515,0.000743
regretful,Shame/Guilt,0.016289,0.013856,0.010488,0.010372,0.010036,0.010349,0.002433,-0.003367,-0.003484,-0.00382,-0.003507,0.000774
distressed,Fear/Anxiety,0.00051,0.001007,-0.004579,-0.003773,-0.002832,-0.003824,-0.000497,-0.005585,-0.00478,-0.003839,-0.004831,0.000668
nostalgic,Nostalgia,0.007081,0.00547,0.005742,0.004481,0.001581,0.004341,0.00161,0.000271,-0.000989,-0.003889,-0.00113,0.000667
grief-stricken,Sadness/Despair,-0.006642,-0.00905,-0.011921,-0.011693,-0.012972,-0.011946,0.002409,-0.00287,-0.002642,-0.003921,-0.002896,0.000716
serene,Calm/Serenity,-0.017255,-0.017683,-0.018556,-0.020548,-0.021709,-0.020241,0.000428,-0.000872,-0.002865,-0.004025,-0.002558,0.000735
grateful,Positive/Joy,-0.018474,-0.018148,-0.020237,-0.021301,-0.022191,-0.021179,-0.000326,-0.002089,-0.003153,-0.004043,-0.003031,0.00059
compassionate,Compassion,-0.021627,-0.020867,-0.022809,-0.023496,-0.025017,-0.023563,-0.00076,-0.001942,-0.002629,-0.00415,-0.002696,0.000707
paranoid,Suspicion,0.009322,0.007414,0.004688,0.004112,0.003212,0.004114,0.001907,-0.002726,-0.003302,-0.004202,-0.003301,0.000748
dependent,Shame/Guilt,0.025762,0.023724,0.021621,0.018022,0.019512,0.019132,0.002038,-0.002103,-0.005702,-0.004213,-0.004592,0.000694
rejuvenated,Positive/Joy,-0.004079,-0.004316,-0.006925,-0.006859,-0.008654,-0.007153,0.000237,-0.002609,-0.002543,-0.004338,-0.002836,0.00079
depressed,Sadness/Despair,0.028701,0.025153,0.023613,0.021878,0.020804,0.022136,0.003548,-0.00154,-0.003275,-0.004349,-0.003017,0.000689
resentful,Shame/Guilt,-0.012421,-0.01506,-0.015114,-0.018431,-0.019487,-0.017783,0.002639,-5.3e-05,-0.00337,-0.004427,-0.002723,0.000744
trapped,Sadness/Despair,0.019819,0.018724,0.013647,0.012652,0.014286,0.013148,0.001094,-0.005078,-0.006072,-0.004438,-0.005577,0.000758
guilty,Shame/Guilt,-0.007701,-0.010158,-0.013445,-0.015161,-0.014607,-0.014656,0.002456,-0.003288,-0.005003,-0.004449,-0.004498,0.000694
nervous,Fear/Anxiety,-0.00869,-0.009948,-0.009941,-0.013867,-0.014489,-0.013004,0.001257,7e-06,-0.00392,-0.004541,-0.003056,0.00072
upset,Fear/Anxiety,-0.012744,-0.012552,-0.018446,-0.018119,-0.017653,-0.018127,-0.000191,-0.005894,-0.005567,-0.005101,-0.005575,0.000656
worried,Fear/Anxiety,0.000581,-0.001493,-0.001394,-0.004237,-0.006619,-0.00391,0.002074,9.9e-05,-0.002744,-0.005125,-0.002417,0.000697
gloomy,Sadness/Despair,0.004445,0.002204,-0.001835,-0.003849,-0.003003,-0.003226,0.002241,-0.004039,-0.006053,-0.005207,-0.00543,0.000712
afraid,Fear/Anxiety,0.020091,0.01934,0.018475,0.015632,0.014106,0.016091,0.000751,-0.000865,-0.003708,-0.005235,-0.003249,0.000777
melancholy,Sadness/Despair,0.019519,0.014259,0.009672,0.009248,0.008937,0.009303,0.00526,-0.004587,-0.005011,-0.005322,-0.004956,0.000755
lonely,Sadness/Despair,0.015894,0.012769,0.012371,0.010672,0.00741,0.010583,0.003126,-0.000397,-0.002097,-0.005359,-0.002186,0.000848
restless,Fatigue,-0.009756,-0.012822,-0.014501,-0.016787,-0.018196,-0.016446,0.003067,-0.001679,-0.003965,-0.005374,-0.003624,0.000737
infatuated,Compassion,0.008234,0.009958,0.008296,0.006218,0.004542,0.006467,-0.001724,-0.001662,-0.00374,-0.005416,-0.003491,0.000748
horrified,Fear/Anxiety,0.023514,0.019743,0.015463,0.015678,0.014299,0.015412,0.003771,-0.00428,-0.004065,-0.005443,-0.004331,0.000725
worthless,Sadness/Despair,0.002647,0.000167,-0.005862,-0.006508,-0.005442,-0.006186,0.00248,-0.006029,-0.006675,-0.005608,-0.006353,0.000873
heartbroken,Sadness/Despair,0.002906,-0.000336,-0.005054,-0.006661,-0.007103,-0.006337,0.003242,-0.004718,-0.006325,-0.006767,-0.006001,0.000882
droopy,Fatigue,0.002596,-0.000318,-0.004963,-0.007312,-0.007268,-0.006731,0.002914,-0.004646,-0.006994,-0.00695,-0.006413,0.000681
scared,Fear/Anxiety,0.001721,0.00046,-0.006217,-0.007128,-0.007573,-0.006974,0.001261,-0.006677,-0.007588,-0.008033,-0.007434,0.00081
sentimental,Nostalgia,-0.014671,-0.015958,-0.020897,-0.022844,-0.02455,-0.022632,0.001287,-0.004938,-0.006885,-0.008592,-0.006673,0.000682
on edge,Fear/Anxiety,0.005789,0.005319,0.000377,-0.001512,-0.004418,-0.0015,0.000469,-0.004942,-0.006832,-0.009738,-0.006819,0.000922
listless,Fatigue,0.010165,0.006762,-0.001319,-0.003223,-0.004051,-0.002886,0.003404,-0.008081,-0.009985,-0.010813,-0.009647,0.000919
loving,Compassion,-0.016468,-0.016892,-0.020785,-0.025407,-0.028448,-0.024748,0.000424,-0.003893,-0.008515,-0.011556,-0.007856,0.000933
embarrassed,Embarrassment,-0.001082,-0.003091,-0.010597,-0.015256,-0.017562,-0.014474,0.002009,-0.007506,-0.012164,-0.01447,-0.011382,0.000934
