frame,band,n_valid_ballots,mean_votes,votes_ci_lo,votes_ci_hi,mean_credits,credits_ci_lo,credits_ci_hi
keep,1,700,0.7014285714285714,0.47424610016420365,0.9645654190441078,4.301428571428572,2.3880055945976975,6.548389780022045
keep,0,700,0.7142857142857143,0.4281362534994018,1.0566138351529075,5.025714285714286,2.564776070710673,7.986978780692645
keep,-1,700,0.45571428571428574,0.20027896995708155,0.8866805427073688,3.19,0.8813561339790154,7.049660333994214
keep,-2,700,0.1442857142857143,0.054847919133048,0.2596894276520033,0.8671428571428571,0.10967370208636584,1.8555748303150048
keep,-3,700,0.13428571428571429,0.06916056231935576,0.22239352326296366,0.5371428571428571,0.07007116788321169,1.2906267442907298
remove,1,671,0.4992548435171386,0.39384952512989285,0.6229638009049772,1.4441132637853948,0.7548521395446429,2.325053845489696
remove,0,671,0.6900149031296572,0.5524361727062861,0.8433781136817208,2.043219076005961,1.187832115800866,3.1787365985895395
remove,-1,671,1.6363636363636365,1.3770844063276004,1.8975195002166692,6.897168405365127,5.280384365042144,8.748963862056154
remove,-2,671,2.5737704918032787,2.277007662835249,2.888910158244002,13.289120715350224,11.03853177149193,15.52082706766917
remove,-3,671,3.22354694485842,2.900833468198738,3.568237069534239,17.429210134128166,14.93169163609186,20.043787606523455
