frame,letter,mean_votes,votes_ci_lo,votes_ci_hi,n
keep,A,0.9314285714285714,0.7677053824362606,1.1050435495759237,700
keep,B,0.2057142857142857,0.12244682683199862,0.3093601823086985,700
keep,C,0.3157142857142857,0.19854455593085635,0.44223297588010557,700
keep,D,0.4642857142857143,0.31311301154012766,0.6328264810631337,700
keep,E,0.23285714285714285,0.0914174747347069,0.41969731216497463,700
remove,A,2.8673621460506706,2.63366937469227,3.107776108801334,671
remove,B,1.646795827123696,1.4573444570135745,1.8318643243172164,671
remove,C,1.69150521609538,1.4821263227513228,1.8958222125634703,671
remove,D,1.3830104321907601,1.232307590700951,1.5447970305106868,671
remove,E,1.0342771982116243,0.8970474194108958,1.1852476209184564,671
